source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_twice,1,151,12,18,4,18.4,3.60266568,15.1,3.8,1376,304.8,1529,216.4,NA,NA,NA,NA
Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_thrice,1,151,12,24,4,18.4,3.60266568,13.5,3.3,1376,304.8,1534,264.5,NA,NA,NA,NA
Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_few,1,151,12,10,4,18.4,3.60266568,14,3.5,1376,304.8,1708,284.6,NA,NA,NA,NA
"Wedell, Tregenza and Simmons (2008)",Requena verticalis,Orthoptera,n,n,y,n,once_thrice,1,152,11,11,11,NA,NA,NA,NA,41.9,32.5,42.3,24.5,NA,NA,NA,NA
Wei et al. (2015),Bactrocera dorsalis,Diptera,n,n,y,n,once_twice,1,153,18,20,9,12.24,NA,8.5,NA,NA,NA,NA,NA,382.82,136.31,376.71,144
Wei et al. (2015),Bactrocera dorsalis,Diptera,y,n,y,n,once_twice,1,153,18,19,9,12.24,NA,11.31,NA,NA,NA,NA,NA,382.82,136.31,950.37,421.03
Wenninger and Hall (2008),Diaphorina citri,Hemiptera,n,n,y,n,once_thrice,1,154,16,13,16,49.2,29.6,49,31.73,127.4,52.8,171.9,64.9,NA,NA,NA,NA
Wenninger and Hall (2008),Diaphorina citri,Hemiptera,y,n,y,n,once_thrice,2,154,16,5,16,32.1,10.8,17.8,8.5,180.1,92,61.7,40.03,NA,NA,NA,NA
Wiklund et al. (1993),Pieris napi,Lepidoptera,y,y,y,n,once_twice,1,155,22,25,22,11,14.07,18,10,247,220.5,440,245,NA,NA,NA,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,156,20,8,6.66,10.97,NA,10.58,NA,45.94,NA,40.36,NA,40.57,NA,37,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,156,20,98,6.66,10.97,NA,8.41,NA,45.94,NA,40.98,NA,40.57,NA,32.04,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_four,1,156,20,52,6.66,10.97,NA,10.09,NA,45.94,NA,37.52,NA,40.57,NA,29.12,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_twice,2,156,22,45,7.33,9.89,NA,8.49,NA,44.49,NA,38.91,NA,39.36,NA,35.86,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_thrice,2,156,22,81,7.33,9.89,NA,8.62,NA,44.49,NA,39.74,NA,39.36,NA,30.84,NA
Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_four,2,156,22,65,7.33,9.89,NA,10.57,NA,44.49,NA,36.12,NA,39.36,NA,27.97,NA
"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,157,22,18,11,NA,NA,NA,NA,52.3,30.77,72.62,28.51,NA,NA,NA,NA
"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,157,22,16,11,NA,NA,NA,NA,52.3,30.77,73.28,32.12,NA,NA,NA,NA
"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,2,157,22,22,11,NA,NA,NA,NA,57.47,31.9,59.87,31.9,NA,NA,NA,NA
