source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,14,NA,14,NA,170,90.23,135.03,86.72,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,15,NA,11,NA,102.72,75.34,75.62,49.93,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,16.93,NA,12.02,NA,23.34,15.56,46.79,15.56,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,15,NA,13,NA,44.34,27.69,34.93,13.83,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,16.47,NA,11.52,NA,55.87,45.85,52.5,22.48,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,16.92,NA,12.45,NA,82.09,40.65,57.94,25.94,NA,NA,NA,NA
Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,16.96,NA,14,NA,45.12,19.9,53,35.46,NA,NA,NA,NA
Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,NA,NA,NA,NA,207.26,14.41,271.8,15.18,NA,NA,NA,NA
Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,NA,NA,NA,NA,228.67,17.66,292.61,14.02,NA,NA,NA,NA
Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,NA,NA,NA,NA,215.23,12.2,282.4,15.96,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_many,1,119,15,15,15,9.9,2.3,7.9,1.3,70.3,23.1,73.7,16.7,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_many,2,119,15,15,15,7.9,1.2,6.6,0.7,90.3,13.8,77,11.5,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus chinensis,Coleoptera,y,n,y,n,once_many,3,119,15,15,15,9.1,1.8,6.4,1.5,47.3,20.6,43.7,13,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus rhodesianus,Coleoptera,y,n,y,n,once_many,4,119,15,15,15,7,1.4,5.9,1.1,67.3,22.3,67.5,28.5,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus analis,Coleoptera,y,n,y,n,once_many,5,119,15,15,15,8.3,1.9,6.5,1.1,75.1,21.6,62.5,7.6,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus subinnotatus,Coleoptera,y,n,y,n,once_many,6,119,15,15,15,10.3,3.7,8.5,1.5,33.3,15.6,34.7,20,NA,NA,NA,NA
Ronn et al. (2006),Callosobruchus phaseoli,Coleoptera,y,n,y,n,once_many,7,119,15,15,15,9.5,1.6,9.1,1.4,45.9,24.1,42.7,8.4,NA,NA,NA,NA
Rooney & Lewis (2002),Photinus ignitus,Coleoptera,n,y,y,n,once_thrice,1,120,20,20,20,4.9,1.3,5.8,1.3,18.5,14.3,32,14.3,NA,NA,NA,NA
Rooney & Lewis (2002),Ellychnia corrusca,Coleoptera,n,y,y,n,once_thrice,1,120,35,35,35,7.8,1.8,8.2,1.8,18.7,11.8,26.3,11.8,NA,NA,NA,NA
Roth (1968),Eublaberus posticus,Blattodea,n,y,y,n,once_twice,1,121,13,12,13,572,111.78,512,193.99,NA,NA,NA,NA,81.4,26.68,89.2,31.87
Roth (1968),Eublaberus posticus,Blattodea,n,y,y,n,once_twice,1,121,9,27,9,239,60,244,51.96,NA,NA,NA,NA,25.8,11.4,35.9,31.18
Ryne et al. (2001),Plodia interpunctella,Lepidoptera,n,y,n,y,once_twice,1,122,30,5,30,NA,NA,NA,NA,NA,NA,NA,NA,123.1,72.8,57.4,98.2
Saber and Momen (2000),Amblyseius zaheri,Arachnida,y,n,y,n,once_many,1,123,15,15,15,40.1,5.04,39.6,3.49,17.3,6.2,53.8,5.81,NA,NA,NA,NA
Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_five,1,124,10,10,2,101,2.84,87.5,4.7,109.2,18.3,224.7,20.9,NA,NA,NA,NA
Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_ten,1,124,10,10,2,101,2.84,77.7,5.4,109.2,18.3,277.4,17.4,NA,NA,NA,NA
Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_fifteen,1,124,10,10,2,101,2.84,72.4,8.9,109.2,18.3,283.8,59.8,NA,NA,NA,NA
Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_twenty,1,124,10,10,2,101,2.84,59.5,2.8,109.2,18.3,286.3,14.2,NA,NA,NA,NA
Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_twentyfive,1,124,10,10,2,101,2.84,53.3,5.7,109.2,18.3,286.2,51.2,NA,NA,NA,NA
Sakaluk & Cade (1980),Acheta domesticus,Orthoptera,y,y,n,y,once_twice,1,125,56,27,56,NA,NA,NA,NA,NA,NA,NA,NA,61.89,62.16,87.33,62.26
Sakaluk & Cade (1980),Gryllus integer,Orthoptera,y,y,n,y,once_twice,2,125,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,121,136.8,172.5,107.5
Sakaluk et al. (2002),Gryllodes sigillatus,Orthoptera,y,y,n,n,once_five,1,126,24,24,24,NA,NA,NA,NA,288.1,159.22,318,157.75,NA,NA,NA,NA
Sakurai (1996),Riptortus clavatus,Hemiptera,n,n,y,n,once_twice,1,127,25,13,25,77.4,20.3,79.2,25,215.7,84.3,323.4,105.6,104.4,62.9,172.2,62.6
Sakurai and Kasuya (2008),Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,1,128,20,26,20,12.25,1.97,10.96,1.23,38.42,6.42,52.11,5.14,24.76,6.34,44.93,4.81
Sakurai and Kasuya (2008),Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,2,128,27,24,27,11.37,2.1,11.96,1.2,35.27,5.25,37.16,3.97,26.17,5.87,28.61,4.93
Santolamazza-Carbone and Cordero Rivera (2003),Gonipterus scutellatus,Coleoptera,y,n,n,y,once_twice,1,129,20,20,20,NA,NA,NA,NA,141.3,42.04,187.6,122.54,NA,NA,NA,NA
Santolamazza-Carbone and Pestana (2010),Anaphes nitens,Hymenoptera,n,n,y,y,once_twice,1,130,17,21,17,21.5,6.47,21.11,6.69,31.81,20.2,32.95,18.56,NA,NA,NA,NA
Santostefano et al. (2018),Arctia plantaginis,Lepidoptera,n,y,y,y,once_twice,1,131,36,42,36,7.89,2.14,7.52,2.29,NA,NA,NA,NA,NA,NA,NA,NA
Santostefano et al. (2018),Arctia plantaginis,Lepidoptera,n,y,y,y,once_twice,1,131,36,46,36,NA,NA,NA,NA,280.3,124.58,296.17,121.72,173.5,144.61,172.35,130.96
Savalli and Fox (1999),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_four,1,132,47,47,47,11.75,2.4,9.63,1.92,73.58,35.92,96.79,17.34,NA,NA,NA,NA
Schwartz and Peterson (2006),Chrysochus cobaltinus,Coleoptera,n,n,y,n,once_ten,1,133,16,17,16,44.5,16.4,49.6,16.5,160.4,115.6,356.3,153,NA,NA,NA,NA
Shelley (2000),Bactrocera dorsalis,Diptera,y,n,n,y,once_twice,1,134,61,67,61,NA,NA,NA,NA,488,277,628,251,NA,NA,NA,NA
Shuker et al. (2006),Lygaeus equestris,Hemiptera,y,n,y,n,once_thrice,1,135,21,21,21,21.71,7.82,12.91,3.65,192.3,132.08,37.53,42.31,NA,NA,NA,NA
Shuker et al. (2006),Lygaeus equestris,Hemiptera,y,n,y,n,once_three,2,135,21,21,21,17.75,6.79,13.27,7.82,79.9,100.7,51.5,137.62,NA,NA,NA,NA
Simmons (1988),Gryllus bimaculatus,Orthoptera,n,y,y,n,once_thrice,1,136,10,10,10,44.5,10.8,39.3,14.8,2256,855,2663,1102,NA,NA,NA,NA
Sousa-Souto et al. (2006),Podisus nigrispinus,Hemiptera,n,n,y,n,once_twice,1,137,15,10,7.5,75.46,NA,69.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sousa-Souto et al. (2006),Podisus nigrispinus,Hemiptera,n,n,y,n,once_thrice,1,137,15,10,7.5,75.46,NA,59.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Svard and McNeil (1994),Mythimna unipuncta,Lepidoptera,n,y,y,y,once_twice,1,138,23,24,23,15.8,3.4,18.8,2.9,1623.5,472.2,2042.5,513.6,NA,NA,NA,NA
Svensson et al. (1998),Agrotis segetum,Lepidoptera,n,y,y,y,once_twice,1,139,74,20,74,NA,NA,NA,NA,590,258.1,670,268.3,NA,NA,NA,NA
Taylor et al. (2008),Drosophila simulans,Diptera,y,n,y,n,once_twice,1,140,21,26,10.5,24.6,NA,23.08,NA,NA,NA,NA,NA,215.8,121.4,308.6,175.9
Taylor et al. (2008),Drosophila simulans,Diptera,y,n,y,n,once_thrice,2,140,21,15,10.5,24.6,NA,24.15,NA,NA,NA,NA,NA,215.8,121.4,388.8,138.3
Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_twice,1,141,8,9,2,NA,NA,NA,NA,78.6,21.5,65.8,16.2,NA,NA,NA,NA
Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_thrice,1,141,8,6,2,NA,NA,NA,NA,78.6,21.5,69.2,2.94,NA,NA,NA,NA
Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_six,1,141,8,8,2,NA,NA,NA,NA,78.6,21.5,69.4,17.25,NA,NA,NA,NA
